x,y,end_x,end_y,minute,second,player_name
87.2,73.0,70.2,60.5,16,15,Nahuel Molina Lucero
69.1,59.5,69.4,50.5,16,17,Rodrigo Javier De Paul
69.4,51.9,70.6,58.3,16,18,Lionel Andrés Messi Cuccittini
72.1,55.7,75.2,44.8,16,20,Rodrigo Javier De Paul
75.2,45.4,67.9,43.4,16,21,Enzo Fernandez
73.1,34.9,92.0,2.9,16,23,Lionel Andrés Messi Cuccittini
102.9,65.6,95.5,50.8,34,31,Lionel Andrés Messi Cuccittini
97.4,49.2,106.0,52.6,34,33,Alexis Mac Allister
106.7,51.5,105.2,49.2,34,34,Nicolás Hernán Otamendi
54.8,60.8,58.4,47.0,49,46,Rodrigo Javier De Paul
65.8,51.4,105.2,77.2,49,47,Lionel Andrés Messi Cuccittini
103.8,46.0,98.5,39.1,49,57,Alexis Mac Allister
104.6,75.7,87.3,75.9,65,42,Alexis Mac Allister
86.7,74.5,85.6,64.1,65,44,Nahuel Molina Lucero
90.9,59.2,93.3,41.6,65,47,Rodrigo Javier De Paul
76.9,61.3,72.9,54.7,87,6,Enzo Fernandez
72.9,54.7,79.3,56.6,87,7,Exequiel Alejandro Palacios
76.2,59.2,80.4,60.8,87,10,Lionel Andrés Messi Cuccittini
93.9,56.7,108.3,52.3,87,13,Rodrigo Javier De Paul
102.1,44.5,107.6,31.9,88,10,Lionel Andrés Messi Cuccittini
91.2,35.2,104.3,29.2,92,8,Lionel Andrés Messi Cuccittini
74.1,76.5,77.1,66.8,92,41,Rodrigo Javier De Paul
104.4,73.1,95.5,66.8,93,29,Lionel Andrés Messi Cuccittini
95.5,66.8,101.8,73.4,93,31,Rodrigo Javier De Paul
100.5,73.1,104.0,76.2,93,35,Lionel Andrés Messi Cuccittini
92.2,35.7,93.4,44.8,93,49,Enzo Fernandez
96.7,48.7,104.6,52.3,93,51,Exequiel Alejandro Palacios
99.9,38.2,103.2,33.6,93,57,Lionel Andrés Messi Cuccittini
87.0,60.1,109.6,61.3,4,29,Lionel Andrés Messi Cuccittini
93.1,77.1,89.9,65.1,21,33,Rodrigo Javier De Paul
53.7,20.3,51.5,30.2,32,28,Marcos Javier Acuña
62.2,43.6,68.0,57.0,32,31,Alexis Mac Allister
74.6,64.7,101.7,73.5,32,33,Rodrigo Javier De Paul
111.2,71.5,99.2,51.2,32,36,Nahuel Molina Lucero
100.4,53.4,97.6,42.3,32,38,Alexis Mac Allister
81.5,69.2,74.2,71.1,33,57,Nahuel Molina Lucero
85.6,44.9,103.4,50.6,34,2,Lionel Andrés Messi Cuccittini
105.4,21.8,104.7,36.4,39,5,Julián Álvarez
98.5,10.2,92.9,11.3,7,22,Ángel Fabián Di María Hernández
89.5,12.3,84.1,21.3,7,23,Alexis Mac Allister
115.1,21.3,98.7,51.7,7,32,Ángel Fabián Di María Hernández
89.3,58.8,110.2,56.8,16,11,Lionel Andrés Messi Cuccittini
110.2,56.8,106.4,45.5,16,13,Rodrigo Javier De Paul
107.9,8.3,91.4,11.9,31,23,Ángel Fabián Di María Hernández
93.1,11.9,87.1,18.8,31,25,Alexis Mac Allister
87.1,18.1,90.8,2.5,31,27,Enzo Fernandez
90.8,2.5,98.5,18.3,31,32,Alexis Mac Allister
100.4,20.5,90.1,20.5,31,33,Nicolás Alejandro Tagliafico
41.8,59.0,53.1,61.8,35,14,Alexis Mac Allister
52.9,61.8,62.5,68.2,35,15,Lionel Andrés Messi Cuccittini
63.2,68.2,99.3,54.9,35,17,Julián Álvarez
99.3,54.9,111.8,32.1,35,20,Alexis Mac Allister
69.8,35.0,78.8,44.0,48,43,Cristian Gabriel Romero
81.3,32.9,99.7,22.4,48,45,Lionel Andrés Messi Cuccittini
106.8,20.9,103.3,52.3,48,48,Ángel Fabián Di María Hernández
84.7,20.3,98.2,26.7,58,18,Ángel Fabián Di María Hernández
112.1,22.4,106.6,37.0,59,49,Ángel Fabián Di María Hernández
112.6,7.9,99.5,9.6,71,22,Alexis Mac Allister
106.8,23.9,98.2,31.8,71,29,Lionel Andrés Messi Cuccittini
88.6,29.5,94.8,23.9,83,10,Rodrigo Javier De Paul
107.0,17.5,114.1,11.7,83,14,Julián Álvarez
107.8,14.7,90.9,31.2,83,21,Marcos Javier Acuña
52.0,34.8,69.3,12.8,96,23,Alexis Mac Allister
70.2,12.8,95.4,9.2,96,26,Marcos Javier Acuña
95.4,8.1,89.5,31.0,96,32,Julián Álvarez
89.5,31.0,92.0,54.7,96,34,Rodrigo Javier De Paul
105.7,6.5,94.1,11.0,6,20,Marcos Javier Acuña
93.1,11.8,95.9,36.5,6,25,Alexis Mac Allister
62.6,22.8,79.9,34.1,8,45,Alexis Mac Allister
87.8,37.3,91.7,47.3,8,49,Lionel Andrés Messi Cuccittini
94.4,63.2,95.4,32.5,9,48,Ángel Fabián Di María Hernández
94.9,6.6,84.9,17.9,15,57,Marcos Javier Acuña
84.9,18.1,74.7,28.8,15,59,Alexis Mac Allister
