x,y,end_x,end_y,minute,second,player_name
78.3,17.9,68.1,21.5,69,56,Aurélien Djani Tchouaméni
72.6,18.1,81.3,3.4,70,0,Adrien Rabiot
81.3,3.4,98.2,3.4,70,2,Theo Bernard François Hernández
84.8,71.2,78.8,58.3,80,52,Kingsley Coman
79.2,54.1,93.1,24.1,80,54,Adrien Rabiot
93.1,24.1,94.8,36.3,80,56,Kylian Mbappé Lottin
94.8,36.3,104.8,30.1,80,57,Marcus Thuram
91.6,33.7,89.3,19.4,93,34,Aurélien Djani Tchouaméni
90.1,18.3,98.7,2.9,93,36,Eduardo Camavinga
113.6,19.8,108.9,28.5,93,44,Eduardo Camavinga
51.5,56.1,67.2,23.7,5,10,Ousmane Dembélé
77.5,11.1,96.7,7.0,5,13,Adrien Rabiot
99.6,8.1,95.6,28.9,5,18,Kylian Mbappé Lottin
84.3,67.0,71.0,73.4,8,55,Antoine Griezmann
71.0,72.6,62.0,56.9,8,57,Jules Koundé
62.0,56.9,67.2,39.6,8,59,Raphaël Varane
67.2,39.6,62.3,36.1,9,0,Aurélien Djani Tchouaméni
62.3,36.1,75.9,8.9,9,1,Dayotchanculle Upamecano
75.9,8.9,80.0,16.1,9,3,Theo Bernard François Hernández
80.0,16.1,106.9,9.4,9,4,Kylian Mbappé Lottin
109.0,9.1,115.0,45.6,9,7,Theo Bernard François Hernández
84.6,14.6,82.4,20.7,14,39,Aurélien Djani Tchouaméni
82.4,20.7,106.4,73.7,14,41,Kylian Mbappé Lottin
113.8,72.4,111.9,38.9,14,51,Ousmane Dembélé
103.4,73.3,108.9,44.3,20,17,Ousmane Dembélé
63.3,62.9,63.8,46.6,29,39,Olivier Giroud
68.6,45.4,88.0,7.8,29,40,Antoine Griezmann
117.6,22.4,106.8,55.3,29,50,Kylian Mbappé Lottin
86.9,15.5,93.1,20.7,32,45,Antoine Griezmann
92.7,20.7,104.6,19.8,32,46,Olivier Giroud
94.8,69.9,113.7,71.5,33,22,Ousmane Dembélé
77.0,50.5,83.9,60.4,36,19,Raphaël Varane
84.4,63.0,93.5,76.7,36,21,Jules Koundé
94.7,64.2,110.8,16.9,36,29,Ousmane Dembélé
110.8,18.1,108.6,45.2,36,32,Kylian Mbappé Lottin
54.7,63.8,109.3,65.7,39,27,Dayotchanculle Upamecano
115.6,60.9,106.0,43.8,39,32,Ousmane Dembélé
32.3,47.0,45.6,53.5,47,16,Adrien Rabiot
45.5,53.9,49.2,21.0,47,17,Antoine Griezmann
65.0,14.7,85.7,5.7,47,20,Theo Bernard François Hernández
32.9,8.9,32.5,18.9,55,49,Antoine Griezmann
41.2,20.7,55.2,23.4,55,52,Adrien Rabiot
41.2,6.8,54.5,43.9,58,48,Adrien Rabiot
54.5,43.9,46.5,36.7,58,49,Aurélien Djani Tchouaméni
46.5,36.7,54.1,30.9,58,52,Raphaël Varane
54.1,30.9,56.1,45.8,58,56,Adrien Rabiot
58.2,45.5,97.2,49.3,58,59,Aurélien Djani Tchouaméni
20.7,58.8,39.1,13.7,60,13,Aurélien Djani Tchouaméni
57.8,16.8,85.3,8.7,60,17,Theo Bernard François Hernández
104.4,22.8,117.4,23.4,60,22,Kylian Mbappé Lottin
118.7,23.6,110.9,30.5,60,24,Theo Bernard François Hernández
97.4,65.1,110.7,40.7,78,19,Kingsley Coman
105.2,21.1,97.1,20.4,78,59,Kylian Mbappé Lottin
97.1,20.4,112.7,47.3,79,1,Theo Bernard François Hernández
38.3,50.0,47.2,73.2,84,55,Ibrahima Konaté
62.3,73.9,112.9,67.9,85,1,Jules Koundé
103.3,65.2,117.8,36.5,85,8,Antoine Griezmann
57.4,64.6,67.8,74.5,10,27,Adrien Rabiot
67.8,75.9,71.6,69.4,10,28,Ousmane Dembélé
90.2,66.4,104.8,75.2,10,32,Antoine Griezmann
104.7,75.0,110.3,38.2,10,33,Ousmane Dembélé
84.6,7.7,81.1,21.7,16,8,Kylian Mbappé Lottin
83.5,17.8,87.5,34.7,16,11,Dayotchanculle Upamecano
93.0,49.1,101.3,70.4,16,14,Kylian Mbappé Lottin
104.5,59.9,97.2,55.3,16,19,Ousmane Dembélé
98.8,55.7,93.0,50.4,16,21,Antoine Griezmann
92.3,36.7,117.7,24.3,38,41,Ousmane Dembélé
118.4,23.7,107.9,32.9,38,44,Theo Bernard François Hernández
37.5,21.3,31.3,51.7,54,33,Dayotchanculle Upamecano
45.0,56.2,46.0,73.3,54,38,Raphaël Varane
47.3,73.3,95.6,43.2,54,40,Jules Koundé
84.8,26.0,88.8,32.4,60,1,Antoine Griezmann
93.3,40.6,100.0,64.3,60,4,Kylian Mbappé Lottin
98.4,20.6,91.3,19.2,74,45,Adrien Rabiot
91.9,17.8,92.8,15.3,74,48,Aurélien Djani Tchouaméni
92.8,15.3,80.2,19.8,74,48,Adrien Rabiot
82.9,19.8,112.9,47.0,74,51,Theo Bernard François Hernández
56.7,44.9,74.7,9.3,76,10,Antoine Griezmann
85.0,5.3,91.3,3.6,76,14,Adrien Rabiot
107.7,11.7,105.4,14.9,76,18,Kylian Mbappé Lottin
104.2,15.3,111.3,49.6,76,20,Adrien Rabiot
111.3,49.9,111.3,40.5,76,22,Ousmane Dembélé
74.5,12.2,93.5,4.0,77,5,Theo Bernard François Hernández
97.9,3.1,114.7,36.4,77,8,Antoine Griezmann
77.9,6.3,71.4,13.6,4,23,Kylian Mbappé Lottin
72.6,13.6,63.4,41.0,4,25,Youssouf Fofana
72.2,61.3,93.4,57.0,4,30,Raphaël Varane
110.0,55.2,107.3,43.8,4,34,Antoine Griezmann
16.5,17.7,79.2,14.1,16,25,Ibrahima Konaté
69.2,12.8,86.8,7.7,32,15,Theo Bernard François Hernández
106.4,20.6,96.0,32.9,32,22,Kylian Mbappé Lottin
80.3,22.7,106.8,23.5,35,8,Aurélien Djani Tchouaméni
