50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,x,y,end_x,end_y
,,,,,,,,,,,,,,True,,,,,,0.293183,,,,,,,,,,,,,,,026aa3b6-58cb-4ae1-94a4-b56643b8465f,59,,"[48.2, 70.7]",3869685,1,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Rodrigo Javier De Paul,7797.0,Right Center Midfield,6,France,771,['a52a2fba-9102-41e1-a0fd-e67b33e96d29'],31,,,,,,,,,,,,,,,,,Argentina,779,00:01:31.066,Pressure,,48.2,70.7,,
,,,,,,,,,,,,,,True,,,,,,0.643626,,,,,,,,,,,,,,,5166ff0a-6ec4-405e-b997-7087d3ed15d8,67,,"[44.9, 72.3]",3869685,1,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Rodrigo Javier De Paul,7797.0,Right Center Midfield,6,France,771,"['21b9829a-07b5-47c7-97cc-edfc951f4548', '4b7c6ba4-6854-4806-b2ef-804060619a34']",34,,,,,,,,,,,,,,,,,Argentina,779,00:01:34.242,Pressure,,44.9,72.3,,
,,,,,,,,,,,,,,True,,,,,,0.788419,,,,,,,,,,,,,,,e0cd7a88-effa-4f19-bcf8-49e82880f000,165,,"[82.2, 31.2]",3869685,4,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,13,France,771,"['5ba25b60-3df6-4eb0-bf65-25010601764f', 'f56df973-fcb8-48e2-ae52-6d3e0506d84a']",19,,,,,,,,,,,,,,,,,Argentina,779,00:04:19.497,Pressure,,82.2,31.2,,
,,,,,,,,,,,,,,,,,,,,0.315548,,,,,,,,,,,,,,,ac00bbc8-4d00-411f-aa7f-1c617aa870bc,185,,"[92.5, 14.9]",3869685,4,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Alexis Mac Allister,27886.0,Left Center Midfield,13,France,771,"['316a0dda-a4a0-457d-9e60-1b99ec77be69', 'ec65035a-5460-499f-95d0-60467a1ae024']",36,,,,,,,,,,,,,,,,,Argentina,779,00:04:36.688,Pressure,,92.5,14.9,,
,,,,,,,,,,,,,,,,,,,,1.631775,,,,,,,,,,,,,,,5d6e15c0-ceca-4f8c-9127-8c28aec0a0f2,236,,"[44.8, 74.2]",3869685,5,,,,,,,,,,,,,,,,,,,,,,,1,From Keeper,Rodrigo Javier De Paul,7797.0,Right Center Midfield,15,France,771,['8f1b540d-1871-4015-add1-16afbd3d508c'],31,,,,,,,,,,,,,,,,,Argentina,779,00:05:31.580,Pressure,,44.8,74.2,,
,,,,,,,,,,,,,,,,,,,,0.585962,,,,,,,,,,,,,,,5000c5db-40c3-49cb-a736-39b9f8267b67,237,,"[61.9, 67.7]",3869685,5,,,,,,,,,,,,,,,,,,,,,,,1,From Keeper,Enzo Fernandez,38718.0,Center Defensive Midfield,15,France,771,,33,,,,,,,,,,,,,,,,,Argentina,779,00:05:33.819,Pressure,,61.9,67.7,,
,,,,,,,,,,,,,,,,,,,,1.351392,,,,,,,,,,,,,,,1f18db66-1a7f-43b9-8840-5382065a1f4d,249,,"[68.9, 49.6]",3869685,5,,,,,,,,,,,,,,,,,,,,,,,1,From Keeper,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,15,France,771,"['525eef87-55ff-4a10-96b7-487d62633f38', '5be8edfa-fe44-4a93-b014-dd649bd05629']",43,,,,,,,,,,,,,,,,,Argentina,779,00:05:43.585,Pressure,,68.9,49.6,,
,,,,,,,,,,,,,,,,,,,,0.190413,,,,,,,,,,,,,,,683540d1-55a3-4242-9e23-d0a1849a9c4a,276,,"[65.7, 13.0]",3869685,6,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Nicolás Alejandro Tagliafico,5507.0,Left Back,16,France,771,"['08fa6c70-538e-46a2-8a43-a80c2081176a', '627d4304-11a5-494f-b5f5-25ebc5bffa26']",32,,,,,,,,,,,,,,,,,Argentina,779,00:06:32.993,Pressure,,65.7,13.0,,
,,,,,,,,,,,,,,,,,,,,0.408389,,,,,,,,,,,,,,,12d2b829-541f-40ca-972e-2fa0867e9d44,281,,"[68.7, 26.2]",3869685,6,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Enzo Fernandez,38718.0,Center Defensive Midfield,16,France,771,"['27d2684e-3809-43a1-b2e5-242fa059ff36', '579cc1cb-0902-4d85-99b6-10ce98d3f0c0']",36,,,,,,,,,,,,,,,,,Argentina,779,00:06:36.332,Pressure,,68.7,26.2,,
,,,,,,,,,,,,,,,,,,,,2.959877,,,,,,,,,,,,,,,385d5740-cb94-4103-bda7-89e7d3eafc57,285,,"[57.4, 63.9]",3869685,6,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Julián Álvarez,29560.0,Center Forward,16,France,771,"['88c667e1-eb8a-43bd-b5e0-d060bb5b1b65', '898e5400-9ddf-4199-a77b-ba9f3c0f0d09', '94e2c5ff-b658-4204-9b81-7ca0958ab645', 'b8bc40f7-32bc-471c-8923-174f37a482f4']",39,,,,,,,,,,,,,,,,,Argentina,779,00:06:39.250,Pressure,,57.4,63.9,,
,,,,,,,,,,,,,,,,,,,,0.330718,,,,,,,,,,,,,,,ba0bc0e4-8435-48b1-92d1-968e9af6596c,294,,"[64.9, 53.2]",3869685,6,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Julián Álvarez,29560.0,Center Forward,17,France,771,"['324a4fa4-12a8-4589-beeb-081d171ce841', 'de412cd1-8ba2-4323-9e4e-da44527f9ea6']",55,,,,,,,,,,,,,,,,,Argentina,779,00:06:55.560,Pressure,,64.9,53.2,,
,,,,,,,,,,,,,,True,,,,,,0.500396,,,,,,,,,,,,,,,b12c11e7-c82b-403e-98b9-927537c17502,328,,"[86.3, 25.8]",3869685,7,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Enzo Fernandez,38718.0,Center Defensive Midfield,18,Argentina,779,"['849c89a5-dc01-4f18-a486-8748d917bdb8', 'a0ef9e77-41d4-4af8-aad1-786eb0f41d3d']",26,,,,,,,,,,,,,,,,,Argentina,779,00:07:26.825,Pressure,,86.3,25.8,,
,,,,,,,,,,,,,,,,,,,,1.264776,,,,,,,,,,,,,,,368c0e6b-3e0e-41c5-a3b2-7c4404b858cd,400,,"[105.1, 54.5]",3869685,11,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Julián Álvarez,29560.0,Center Forward,21,Argentina,779,['436dbbd2-6e04-43ab-b00f-dfa9c3abf72e'],40,,,,,,,,,,,,,,,,,Argentina,779,00:11:40.959,Pressure,,105.1,54.5,,
,,,,,,,,,,,,,,True,,,,,,0.440642,,,,,,,,,,,,,,,1da345a7-c6f8-416d-8af9-db06cd266471,403,,"[115.1, 55.1]",3869685,11,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Julián Álvarez,29560.0,Center Forward,21,Argentina,779,"['4fabc170-592b-42f4-a75c-97750c14922a', 'e9f99601-ce17-4583-bea7-edbd8004aeda']",43,,,,,,,,,,,,,,,,,Argentina,779,00:11:43.149,Pressure,,115.1,55.1,,
,,,,,,,,,,,,,,,,,,,,0.672263,,,,,,,,,,,,,,,691f4e28-a586-4c5e-bbb2-0d63a8711ae1,447,,"[44.8, 16.6]",3869685,12,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Enzo Fernandez,38718.0,Center Defensive Midfield,22,France,771,['2e9dc687-107f-426c-879d-d5b546ffa8c7'],53,,,,,,,,,,,,,,,,,Argentina,779,00:12:53.660,Pressure,,44.8,16.6,,
,,,,,,,,,,,,,,,,,,,,0.420907,,,,,,,,,,,,,,,51f062fc-7eb9-40b5-a4b6-7b5f4b0371f9,448,,"[46.7, 15.1]",3869685,12,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Alexis Mac Allister,27886.0,Left Center Midfield,22,France,771,['bee3fdb0-edf5-41fa-8775-6f7d7fea7477'],54,,,,,,,,,,,,,,,,,Argentina,779,00:12:54.050,Pressure,,46.7,15.1,,
