50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,x,y,end_x,end_y
,,,,,,,,,,,,,,,,,,,,1.533107,,,,,,,,,,,,,,,54bd94ec-86b7-4428-b71b-286c1e080b9f,11,,"[84.5, 8.5]",3869685,0,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Adrien Rabiot,3026.0,Left Defensive Midfield,3,Argentina,779,"['2be9a9f2-84ab-4935-8fb2-bd497202fa2f', 'a511000a-bb39-4888-80e5-d81cabf8819e']",17,,,,,,,,,,,,,,,,,France,771,00:00:17.350,Pressure,,84.5,8.5,,
,,,,,,,,,,,,,,,,,,,,0.437584,,,,,,,,,,,,,,,34e4c829-064b-4e37-b02c-e997f114b25f,29,,"[87.3, 73.5]",3869685,0,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Ousmane Dembélé,5477.0,Right Wing,4,Argentina,779,"['b29ee2e5-444f-4a7a-9214-67dded65d069', 'f6c30bac-9533-4dd1-bff7-95900d699747']",46,,,,,,,,,,,,,,,,,France,771,00:00:46.868,Pressure,,87.3,73.5,,
,,,,,,,,,,,,,,,,,,,,0.333605,,,,,,,,,,,,,,,a907b58d-360e-485d-b5dd-f85e72b59e94,33,,"[73.6, 73.5]",3869685,0,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Aurélien Djani Tchouaméni,10481.0,Right Defensive Midfield,4,Argentina,779,,48,,,,,,,,,,,,,,,,,France,771,00:00:48.332,Pressure,,73.6,73.5,,
,,,,,,,,,,,,,,,,,,,,0.441545,,,,,,,,,,,,,,,3a7fcec1-e87e-429b-a556-a14ed6b1eaee,55,,"[109.3, 37.0]",3869685,1,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Antoine Griezmann,5487.0,Center Attacking Midfield,5,Argentina,779,"['6a7787f9-b334-492e-9f35-3a06a3646b4f', 'd022265e-ac5c-48fa-92be-ea046ca39332']",27,,,,,,,,,,,,,,,,,France,771,00:01:27.031,Pressure,,109.3,37.0,,
,,,,,,,,,,,,,,,,,,,,0.840068,,,,,,,,,,,,,,,ae10a09b-1384-4cf3-852c-10deb5ab20db,83,,"[50.1, 68.4]",3869685,2,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Antoine Griezmann,5487.0,Center Attacking Midfield,8,Argentina,779,,13,,,,,,,,,,,,,,,,,France,771,00:02:13.073,Pressure,,50.1,68.4,,
,,,,,,,,,,,,,,,,,,,,0.328289,,,,,,,,,,,,,,,98f475c7-283c-4cb2-83f4-4c9022ec5c8a,87,,"[39.4, 43.6]",3869685,2,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Aurélien Djani Tchouaméni,10481.0,Right Defensive Midfield,8,Argentina,779,"['1552304a-f3c0-42bf-b7ff-d7b0173d7488', '935dedc1-2acb-4f29-b202-c161f926d3ab']",16,,,,,,,,,,,,,,,,,France,771,00:02:16.771,Pressure,,39.4,43.6,,
,,,,,,,,,,,,,,True,,,,,,0.345796,,,,,,,,,,,,,,,543cee0b-bed8-4e05-aff4-3f83484ea8e4,113,,"[77.6, 61.0]",3869685,3,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Olivier Giroud,3604.0,Center Forward,10,Argentina,779,['f5200d48-9bec-4b4f-bcd9-fd3c4236449b'],8,,,,,,,,,,,,,,,,,France,771,00:03:08.489,Pressure,,77.6,61.0,,
,,,,,,,,,,,,,,True,,,,,,0.333349,,,,,,,,,,,,,,,6295e9e6-4031-45f2-9e1f-236a1d822994,117,,"[89.9, 53.0]",3869685,3,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Olivier Giroud,3604.0,Center Forward,10,Argentina,779,['58a4deb1-130a-4e75-837b-2f7aa0c8c308'],10,,,,,,,,,,,,,,,,,France,771,00:03:10.988,Pressure,,89.9,53.0,,
,,,,,,,,,,,,,,,,,,,,0.434597,,,,,,,,,,,,,,,5d2627b1-4b79-4436-b06b-b740c24d5484,139,,"[48.6, 17.9]",3869685,3,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Adrien Rabiot,3026.0,Left Defensive Midfield,11,Argentina,779,['7772fca1-5ac5-4f4e-b7c8-647dfe3887cf'],52,,,,,,,,,,,,,,,,,France,771,00:03:52.380,Pressure,,48.6,17.9,,
,,,,,,,,,,,,,,,,,,,,0.827219,,,,,,,,,,,,,,,9c2346b1-7e5a-43dd-956c-566a44f3ad13,146,,"[28.3, 72.5]",3869685,4,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Jules Koundé,4445.0,Right Back,11,Argentina,779,['f2a0fe69-3c53-4ad4-acb5-36cd49944a33'],0,,,,,,,,,,,,,,,,,France,771,00:04:00.864,Pressure,,28.3,72.5,,
