player,player_clean,team,dribbles_tentes,dribbles_reussis,taux_reussite_dribbles_pct
Alexis Mac Allister,Mac Allister,Argentina,2,2,100.0
Antoine Griezmann,Griezmann,France,1,0,0.0
Aurélien Djani Tchouaméni,Tchouaméni,France,2,2,100.0
Eduardo Camavinga,Camavinga,France,2,1,50.0
Enzo Fernandez,Enzo,Argentina,1,1,100.0
Gonzalo Ariel Montiel,Montiel,Argentina,1,0,0.0
Jules Koundé,Koundé,France,2,1,50.0
Kingsley Coman,Coman,France,4,4,100.0
Kylian Mbappé Lottin,Mbappé,France,11,6,54.5
Lionel Andrés Messi Cuccittini,Messi,Argentina,3,0,0.0
Marcos Javier Acuña,Acuña,Argentina,2,0,0.0
Marcus Thuram,Thuram,France,4,2,50.0
Ousmane Dembélé,Dembélé,France,1,0,0.0
Randal Kolo Muani,Kolo Muani,France,4,1,25.0
Rodrigo Javier De Paul,De Paul,Argentina,4,1,25.0
Theo Bernard François Hernández,Theo Hernandez,France,2,2,100.0
Ángel Fabián Di María Hernández,Di Maria,Argentina,8,5,62.5
