player,player_clean,team,tirs,tirs_cadres,buts,xg_total,precision_tirs_pct
Adrien Rabiot,Rabiot,France,1,1,0,0.093,100.0
Alexis Mac Allister,Mac Allister,Argentina,3,1,0,0.054,33.3
Aurélien Djani Tchouaméni,Tchouaméni,France,1,0,0,0.784,0.0
Enzo Fernandez,Enzo,Argentina,2,1,0,0.072,50.0
Gonzalo Ariel Montiel,Montiel,Argentina,2,1,1,0.804,50.0
Julián Álvarez,Alvarez,Argentina,1,1,0,0.06,100.0
Kingsley Coman,Coman,France,1,1,0,0.784,100.0
Kylian Mbappé Lottin,Mbappé,France,7,4,4,2.566,57.1
Lautaro Javier Martínez,Lautaro,Argentina,4,1,0,0.584,25.0
Leandro Daniel Paredes,Paredes,Argentina,1,1,1,0.784,100.0
Lionel Andrés Messi Cuccittini,Messi,Argentina,6,5,3,2.239,83.3
Paulo Bruno Exequiel Dybala,Dybala,Argentina,1,1,1,0.784,100.0
Randal Kolo Muani,Kolo Muani,France,3,2,1,1.157,66.7
Rodrigo Javier De Paul,De Paul,Argentina,2,1,0,0.103,50.0
Youssouf Fofana,Fofana,France,1,0,0,0.023,0.0
Ángel Fabián Di María Hernández,Di Maria,Argentina,2,1,1,0.41,50.0
